score mode 2 ====================================
18901; 14640; 14707; 6392; 14672; 14675; 8305
18894; 14718; 14629; 6552; 14672; 14675; 6340
18887; 14751; 14596; 6055; 14672; 14675; 5639
18790; 14682; 14665; 6648; 14672; 14675; 6014
18986; 14884; 14463; 6695; 14672; 14675; 7783
18999; 14705; 14642; 6119; 14675; 14672; 7167
18888; 14711; 14636; 6023; 14675; 14672; 8574
18913; 14709; 14638; 6567; 14675; 14672; 6683
18823; 14738; 14609; 6200; 14672; 14675; 5677
18928; 14662; 14685; 6247; 14675; 14672; 6831
18954; 14846; 14501; 5959; 14672; 14675; 5694
18761; 14664; 14683; 6392; 14675; 14672; 7314
18809; 14659; 14688; 5926; 14671; 14676; 5764
19009; 14681; 14666; 6040; 14675; 14672; 4271
18793; 14550; 14797; 6071; 14676; 14671; 5061
18768; 14716; 14631; 6552; 14671; 14676; 4961
18938; 14561; 14786; 5783; 14676; 14671; 5413
18994; 14754; 14593; 5927; 14671; 14676; 4106
18798; 14485; 14862; 6119; 14672; 14675; 6601
18995; 14787; 14560; 6296; 14675; 14672; 5379
18874; 14620; 14727; 6040; 14675; 14672; 6112
18980; 14555; 14792; 5624; 14672; 14675; 6033
18926; 14739; 14608; 6055; 14675; 14672; 5459
19018; 14675; 14672; 6086; 14675; 14672; 4193
18892; 14725; 14622; 5944; 14672; 14675; 6793
18787; 14750; 14597; 5863; 14675; 14672; 5357
18804; 14735; 14612; 6168; 14672; 14675; 4796
18968; 14467; 14880; 6087; 14675; 14672; 5449
18835; 14713; 14634; 6168; 14672; 14675; 5608
18967; 14706; 14641; 6392; 14672; 14675; 5687
19053; 14599; 14748; 6407; 14675; 14672; 4344
18953; 14744; 14603; 6439; 14672; 14675; 4428
18852; 14761; 14586; 6424; 14676; 14671; 5846
18927; 14535; 14812; 6488; 14672; 14675; 5321
18924; 14695; 14652; 6552; 14673; 14674; 3647
18949; 14719; 14628; 6616; 14675; 14672; 4407
18958; 14700; 14647; 6232; 14675; 14672; 4403
19026; 14705; 14642; 6008; 14672; 14675; 4391
18933; 14639; 14708; 5863; 14675; 14672; 6462
18836; 14635; 14712; 6328; 14676; 14671; 5098
18794; 14598; 14749; 6439; 14675; 14672; 7982
18884; 14651; 14696; 5767; 14672; 14675; 4622
18988; 14686; 14661; 6119; 14672; 14675; 5853
18941; 14742; 14605; 6535; 14672; 14675; 5727
18753; 14824; 14523; 5735; 14675; 14672; 5149
18802; 14769; 14578; 6375; 14672; 14675; 5674
18852; 14717; 14630; 6456; 14675; 14672; 6201
19029; 14653; 14694; 5895; 14675; 14672; 5032
18897; 14650; 14697; 6424; 14672; 14675; 5205
18812; 14496; 14851; 5863; 14675; 14672; 6076
18985; 14673; 14674; 6232; 14672; 14675; 4912
18922; 14557; 14790; 5752; 14675; 14672; 6199
18894; 14689; 14658; 5784; 14674; 14673; 5187
18850; 14958; 14389; 6008; 14675; 14672; 5714
18943; 14562; 14785; 5831; 14672; 14675; 5688
18928; 14743; 14604; 6008; 14675; 14672; 5221
18935; 14739; 14608; 6456; 14676; 14671; 7434
18963; 14742; 14605; 5976; 14672; 14675; 5092
18938; 14534; 14813; 6183; 14672; 14675; 4241
18975; 14627; 14720; 6456; 14672; 14675; 5040
19003; 14728; 14619; 6232; 14675; 14672; 5639
18957; 14471; 14876; 6279; 14675; 14672; 5019
18868; 14741; 14606; 5656; 14675; 14672; 6329
18839; 14689; 14658; 6407; 14672; 14675; 5636
18821; 14739; 14608; 5848; 14672; 14675; 4175
18938; 14735; 14612; 6520; 14675; 14672; 6419
18974; 14688; 14659; 6040; 14675; 14672; 5647
18972; 14768; 14579; 5671; 14672; 14675; 6025
19013; 14550; 14797; 6488; 14675; 14672; 5121
18863; 14671; 14676; 6567; 14672; 14675; 4415
18895; 14816; 14531; 5944; 14672; 14675; 4737
19047; 14502; 14845; 5752; 14672; 14675; 4653
18831; 14856; 14491; 6456; 14675; 14672; 6245
18791; 14765; 14582; 5767; 14675; 14672; 5581
19103; 14762; 14585; 5734; 14675; 14672; 5604
18882; 14485; 14862; 6552; 14675; 14672; 6872
18930; 14756; 14591; 6648; 14672; 14675; 4479
18777; 14622; 14725; 6552; 14672; 14675; 5608
19021; 14681; 14666; 5944; 14675; 14672; 6751
18916; 14618; 14729; 6040; 14672; 14675; 5603
18947; 14671; 14676; 6584; 14675; 14672; 4669
18931; 14588; 14759; 5016; 14672; 14675; 5692
18898; 14747; 14600; 6278; 14675; 14672; 5132
18974; 14609; 14738; 6200; 14675; 14672; 5636
18916; 14824; 14523; 5816; 14675; 14672; 5399
18933; 14542; 14805; 5959; 14672; 14675; 5990
18957; 14531; 14816; 6503; 14676; 14671; 6904
18918; 14570; 14777; 6072; 14675; 14672; 5868
18862; 14663; 14684; 6456; 14675; 14672; 4574
18963; 14720; 14627; 6584; 14672; 14675; 4658
18884; 14709; 14638; 6118; 14672; 14675; 6567
18913; 14609; 14738; 6392; 14672; 14675; 5326
18823; 14651; 14696; 6040; 14675; 14672; 4176
18882; 14688; 14659; 6247; 14675; 14672; 7212
18848; 14689; 14658; 6183; 14672; 14675; 6825
18820; 14753; 14594; 5895; 14675; 14672; 5742
18892; 14641; 14706; 6264; 14672; 14675; 5705
18910; 14518; 14829; 5848; 14671; 14676; 5002
18828; 14636; 14711; 6200; 14672; 14675; 6325
18928; 14569; 14778; 6040; 14675; 14672; 4288
score mode 3 ====================================
18850; 14655; 14692; 5955; 14734; 14613; 13802
18948; 14651; 14696; 5993; 14543; 14804; 11795
18848; 14867; 14480; 6084; 14845; 14502; 9045
18923; 14550; 14797; 5816; 14413; 14934; 11909
19026; 14685; 14662; 5880; 14675; 14672; 9189
18831; 14724; 14623; 5741; 14792; 14555; 9208
18950; 14638; 14709; 6154; 14569; 14778; 14749
18774; 14882; 14465; 6294; 14675; 14672; 14789
18943; 14740; 14607; 6460; 14675; 14672; 10254
18872; 14657; 14690; 5636; 14803; 14544; 12437
18991; 14604; 14743; 6147; 14677; 14670; 8865
18762; 14714; 14633; 6230; 14675; 14672; 10751
18972; 14658; 14689; 6340; 14672; 14675; 11563
18854; 14727; 14620; 6630; 14655; 14692; 7761
18903; 14625; 14722; 6009; 14704; 14643; 5389
18943; 14636; 14711; 5991; 14675; 14672; 9281
18819; 14434; 14913; 6404; 14675; 14672; 11029
18947; 14648; 14699; 6307; 14460; 14887; 4791
18839; 14779; 14568; 6148; 14672; 14675; 12745
18905; 14689; 14658; 6401; 14675; 14672; 11727
18902; 14581; 14766; 5363; 14770; 14577; 6621
18916; 14795; 14552; 5719; 14643; 14704; 10605
18855; 14798; 14549; 5958; 14700; 14647; 8951
18965; 14750; 14597; 6164; 14675; 14672; 6773
18864; 14676; 14671; 6144; 14672; 14675; 10767
18850; 14669; 14678; 6156; 14672; 14675; 11550
18908; 14543; 14804; 5679; 14675; 14672; 11194
18978; 14677; 14670; 5773; 14675; 14672; 10174
18836; 14671; 14676; 6425; 14673; 14674; 11726
18907; 14587; 14760; 6096; 14676; 14671; 12083
18969; 14671; 14676; 6376; 14658; 14689; 7823
